id,name,serving_size,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,source_dataset,source_file,source_group
mace-ground,mace ground,dataset serving,25,0.4,2.7,1.7,1.1,0,0.097,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
bay-leaf,bay leaf,dataset serving,2,0.086,0.4,0.042,0.2,0,0.084,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
eppaw,eppaw,dataset serving,150,4.6,31.7,1.8,0,0,0.015,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
tarragon-dried,tarragon dried,dataset serving,2,0.1,0.3,0.047,0.038,0,0.012,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
ginger-ground,ginger ground,dataset serving,6,0.2,1.3,0.043,0.3,0.067,0.038,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
savory-ground,savory ground,dataset serving,4,0.074,1,0.029,0.6,0,0.055,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
black-pepper,black pepper,dataset serving,6,0.2,1.5,0.006,0.6,0.08,0.036,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
spearmint-fresh,spearmint fresh,dataset serving,3,0.2,0.5,0.089,0.4,0,0.092,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
poultry-seasoning,poultry seasoning,dataset serving,14,0.4,2.9,0.3,0.5,0.1,0.063,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
nutmeg-ground,nutmeg ground,dataset serving,12,0.1,1.1,0.8,0.5,0.6,0.095,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
curry-powder,curry powder,dataset serving,20,0.8,3.7,0.9,2.1,0.2,0.004,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
peppermint,peppermint,dataset serving,1,0.038,0.2,0.004,0.1,0,0.007,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
salt,salt,dataset serving,0,0,0,0,0,0,7,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
coriander-leaves-dried,coriander leaves dried,dataset serving,2,0.1,0.3,0.098,0.095,0.045,0.018,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
sage-ground,sage ground,dataset serving,2,0.058,0.4,0.046,0.3,0.052,0.083,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
garlic-powder,garlic powder,dataset serving,10,0.5,2.3,0.029,0.3,0.068,0.082,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
dill-weed-fresh,dill weed fresh,dataset serving,4,0.3,0.6,0.063,0.2,0,0.017,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
cardamom,cardamom,dataset serving,6,0.2,1.4,0.1,0.6,0,0.013,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
saffron,saffron,dataset serving,2,0.071,0.5,0.092,0.002,0,0.063,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
allspice-ground,allspice ground,dataset serving,5,0.1,1.4,0.2,0.4,0,0.001,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
parsley-fresh,parsley fresh,dataset serving,1,0.1,0.2,0.078,0.1,0.001,0.056,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
oregano-dried,oregano dried,dataset serving,265,9,68.9,4.3,42.5,4.1,0.009,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
marjoram-dried,marjoram dried,dataset serving,5,0.2,1,0.1,0.7,0.077,0.004,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
chives-raw,chives raw,dataset serving,1,0.03,0.1,0.088,0.044,0.02,0.099,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
fireweed-leaves,fireweed leaves,dataset serving,24,1.1,4.4,0.6,2.4,0,0.035,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
rosemary-fresh,rosemary fresh,dataset serving,1,0.005,0.1,0.1,0.012,0,0.039,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
garlic,garlic,dataset serving,4,0.2,0.9,0.026,0.064,0.043,0.018,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
cinnamon-ground,cinnamon ground,dataset serving,6,0.1,2.1,0.044,1.4,0.066,0.022,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
chervil-dried,chervil dried,dataset serving,5,0.4,0.9,0.002,0.2,0,0.076,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
cayenne-pepper,cayenne pepper,dataset serving,1,0.039,0.2,0.094,0.052,0.089,0.059,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
turmeric-ground,turmeric ground,dataset serving,8,0.2,1.4,0.2,0.5,0.062,0.064,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
mustard,mustard,dataset serving,3,0.2,0.3,0.2,0.2,0.048,0.015,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
chili-powder,chili powder,dataset serving,8,0.4,1.3,0.4,0.9,0.2,0.014,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
thyme-dried,thyme dried,dataset serving,276,9.1,63.9,7.4,37,1.7,0.016,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
spearmint-dried,spearmint dried,dataset serving,1,0.094,0.3,0.018,0.1,0,0.012,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
basil-dried,basil dried,dataset serving,2,0.2,0.3,0.027,0.3,0.054,0.089,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
dandelion-greens-cooked,dandelion greens cooked,dataset serving,35,2.1,6.7,0.6,3,1.7,0.3,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
basil-fresh,basil fresh,dataset serving,2,0.2,0.2,0.089,0.1,0.064,0.058,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
dock,dock,dataset serving,29,2.7,4.3,0.9,3.9,0,0.025,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
garden-cress-cooked,garden cress cooked,dataset serving,31,2.6,5.1,0.8,0.9,4.2,0.3,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
onion-powder,onion powder,dataset serving,8,0.2,1.9,0.024,0.4,0.2,0.048,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
dandelion-greens-raw,dandelion greens raw,dataset serving,25,1.5,5.1,0.4,1.9,0.4,0.043,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
yokan,yokan,dataset serving,36,0.5,8.5,0.022,0,0,0.05,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
fava-beans-cooked,fava beans cooked,dataset serving,187,12.9,33.4,0.7,9.2,3.1,0.081,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
french-beans-raw,french beans raw,dataset serving,631,34.6,118,3.7,46.4,0,0.069,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
chickpeas-canned,chickpeas canned,dataset serving,352,17.8,57,7,0,0,0.6,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
yellow-beans-cooked,yellow beans cooked,dataset serving,255,16.2,44.7,1.9,18.4,0,0.086,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
mung-beans-cooked,mung beans cooked,dataset serving,212,14.2,38.7,0.8,15.4,4,0.083,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
white-beans-canned,white beans canned,dataset serving,299,19,55.5,0.8,12.6,0.8,0.079,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
pink-beans-cooked,pink beans cooked,dataset serving,252,15.3,47.2,0.8,9,0.6,0.075,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
pink-beans-raw,pink beans raw,dataset serving,720,44,134.8,2.4,26.7,4.5,0.057,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
navy-beans-raw,navy beans raw,dataset serving,701,46.4,126.4,3.1,50.8,8.1,0.059,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
snap-beans-cooked,snap beans cooked,dataset serving,44,2.4,9.9,0.4,4,1.9,0.086,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
black-eyed-cowpeas-raw,black eyed cowpeas raw,dataset serving,131,4.3,27.3,0.5,7.3,4.4,0.048,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
edamame-cooked,edamame cooked,dataset serving,189,18.5,13.8,8.1,8.1,3.4,0.034,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
